Date;egcm_Y;egcm_X
02/01/2013;116.2916946;116.4166794
03/01/2013;116.0289764;116.2658081
04/01/2013;116.5385437;116.8374481
07/01/2013;116.2200546;116.4722366
08/01/2013;115.8856735;116.1546936
09/01/2013;116.1802979;116.464325
10/01/2013;117.1038132;117.3455887
11/01/2013;117.0958939;117.4011459
14/01/2013;117.0162735;117.2979355
15/01/2013;117.0958939;117.3455887
16/01/2013;117.0799408;117.2979355
17/01/2013;117.8362961;118.0919266
18/01/2013;118.0990906;118.4015274
22/01/2013;118.7360306;118.9811172
23/01/2013;118.9271393;119.2034073
24/01/2013;118.9589462;119.2351837
25/01/2013;119.6278305;119.8227158
28/01/2013;119.484436;119.8227158
29/01/2013;119.954216;120.2196732
30/01/2013;119.484436;119.775032
31/01/2013;119.189827;119.4575348
01/02/2013;120.4160004;120.7040329
04/02/2013;119.0624771;119.3860474
05/02/2013;120.2647171;120.4896088
06/02/2013;120.3522949;120.6484146
07/02/2013;120.1930389;120.5055008
08/02/2013;120.8618393;121.1168518
11/02/2013;120.8379364;121.0771103
12/02/2013;121.037056;121.3471069
13/02/2013;121.1405334;121.426506
14/02/2013;121.2519379;121.5694046
15/02/2013;121.1086655;121.4344254
19/02/2013;122.0163345;122.2680435
20/02/2013;120.4955597;120.7278366
21/02/2013;119.7631226;120.029129
22/02/2013;120.9335251;121.1803284
25/02/2013;118.6325302;118.9096985
26/02/2013;119.4446182;119.7194824
27/02/2013;120.9494476;121.1803284
28/02/2013;120.7105865;121.0771103
01/03/2013;121.1086655;121.3788834
04/03/2013;121.7535629;121.9822235
05/03/2013;122.8443375;123.0858154
06/03/2013;123.0115967;123.3398972
07/03/2013;123.2344818;123.5542984
08/03/2013;123.7600403;124.0782471
11/03/2013;124.2297134;124.5069885
12/03/2013;123.951088;124.2132263
13/03/2013;124.1262207;124.3879318
14/03/2013;124.7870483;125.086586
15/03/2013;124.6223373;124.9436722
18/03/2013;123.9345627;124.1893692
19/03/2013;123.6466293;123.9829941
20/03/2013;124.5103989;124.7769928
21/03/2013;123.4467087;123.7448654
22/03/2013;124.4383698;124.7134399
25/03/2013;123.9185333;124.3010025
26/03/2013;124.910202;125.2503281
27/03/2013;124.910202;125.1625748
28/03/2013;125.2941132;125.5294647
01/04/2013;124.7982941;125.1146622
02/04/2013;125.4140701;125.7049484
03/04/2013;124.1424942;124.4764481
04/04/2013;124.6463242;124.9551239
05/04/2013;124.086525;124.4207077
08/04/2013;124.9262466;125.1864014
09/04/2013;125.3580856;125.6490936
10/04/2013;126.8935852;127.2206879
11/04/2013;127.309433;127.6354675
12/04/2013;126.9975128;127.3004684
15/04/2013;124.0545273;124.3887863
16/04/2013;125.8859406;126.1995544
17/04/2013;124.0465012;124.3010025
18/04/2013;123.2707443;123.5830536
19/04/2013;124.3424072;124.5802078
22/04/2013;124.8942337;125.2423248
23/04/2013;126.1818314;126.5186615
24/04/2013;126.2618103;126.5107193
25/04/2013;126.7735901;127.1089783
26/04/2013;126.5496521;126.8377457
29/04/2013;127.3973999;127.7152863
30/04/2013;127.7013092;127.9944839
01/05/2013;126.5816727;126.9175339
02/05/2013;127.7572479;128.0662994
03/05/2013;129.0528717;129.33461
06/05/2013;129.3806915;129.6776428
07/05/2013;130.0365295;130.3397369
08/05/2013;130.6283417;130.9539948
09/05/2013;130.2604523;130.6029968
10/05/2013;130.6843414;131.0098419
13/05/2013;130.7882843;131.1215057
14/05/2013;132.1398315;132.5255127
15/05/2013;132.8515778;133.1956177
16/05/2013;132.2277679;132.5574188
17/05/2013;133.5073242;133.8577576
20/05/2013;133.4993744;133.8896179
21/05/2013;133.6913147;134.0570831
22/05/2013;132.6995697;133.0520325
23/05/2013;132.3157349;132.6611481
24/05/2013;132.2037811;132.5415039
28/05/2013;132.9955444;133.3551788
29/05/2013;132.1318207;132.4537048
30/05/2013;132.6196747;132.9801636
31/05/2013;130.7162933;131.0656433
03/06/2013;131.4360809;131.7597198
04/06/2013;130.8042297;131.1613922
05/06/2013;128.9729309;129.2628326
06/06/2013;130.1404419;130.4434662
07/06/2013;131.7958984;132.1186676
10/06/2013;131.7958984;132.1027527
11/06/2013;130.4364319;130.8024292
12/06/2013;129.35672;129.70961
13/06/2013;131.3240967;131.6799316
14/06/2013;130.500412;130.8423615
17/06/2013;131.5079803;131.9113007
18/06/2013;132.5476837;132.8764954
19/06/2013;130.7162933;131.1374664
20/06/2013;127.4773788;127.8030472
21/06/2013;127.8866119;128.193924
24/06/2013;126.2705994;126.55056
25/06/2013;127.4846115;127.8030472
26/06/2013;128.7468262;129.0601654
27/06/2013;129.5025635;129.8138275
28/06/2013;128.9720001;128.9879913
01/07/2013;129.7276764;130.0543518
02/07/2013;129.6070404;129.8458557
03/07/2013;129.6633606;129.9822388
05/07/2013;131.0623016;131.4173279
08/07/2013;131.809967;132.1390076
09/07/2013;132.7585907;133.085022
10/07/2013;132.8068695;133.1411743
11/07/2013;134.6157837;135.0653992
12/07/2013;134.6719971;135.0173492
15/07/2013;135.1865997;135.6186218
16/07/2013;134.68013;135.0493774
17/07/2013;135.0257721;135.338028
18/07/2013;135.7653961;136.1077118
19/07/2013;136.0066528;136.4203949
22/07/2013;136.2719727;136.6368713
23/07/2013;135.9825134;136.3562469
24/07/2013;135.4840546;135.8752289
25/07/2013;135.8136597;136.1317749
26/07/2013;135.9584198;136.3161621
29/07/2013;135.5403595;135.9152527
30/07/2013;135.5403595;135.8912506
